Nx=1, Ny=240, Nz=240
dx=2.449490, dy=0.204124, dz=0.204124
0.005697 0.994303 16.354005 -13.304163
0.015053 0.984947 16.152382 -12.944444
0.043938 0.956062 14.732308 -12.631401
0.140397 0.859603 7.793447 -13.782729
0.414155 0.585845 -7.429194 -12.579924
0.760206 0.239794 -12.967142 2.645203
0.917700 0.082300 -10.414662 14.647333
0.967603 0.032397 -9.914362 18.141841
0.985109 0.014891 -10.366415 18.740153
0.992271 0.007729 -10.978323 18.557953
0.995485 0.004515 -11.494062 18.235048
0.996765 0.003235 -11.814311 17.991577
0.996872 0.003128 -11.848972 17.963367
0.995847 0.004153 -11.606719 18.144074
0.993112 0.006888 -11.138743 18.447990
0.987007 0.012993 -10.570680 18.649721
0.972492 0.027508 -10.079499 18.269993
0.932602 0.067398 -10.313358 15.642787
0.806881 0.193119 -12.679562 5.733278
0.492729 0.507271 -10.210474 -10.646721
0.178750 0.821250 5.048906 -14.226087
0.055474 0.944526 14.126643 -12.544941
0.018947 0.981053 16.315038 -12.548127
0.007942 0.992058 16.715715 -12.807767
0.005986 0.994014 16.914673 -12.726177
0.009539 0.990461 17.167348 -12.260309
0.020861 0.979139 17.146802 -11.601555
0.050897 0.949103 15.657040 -11.289114
0.136775 0.863225 9.291953 -12.501573
0.362960 0.637040 -4.874797 -13.097193
0.695184 0.304816 -13.834693 -2.123629
0.890312 0.109688 -12.599519 10.819229
0.960376 0.039624 -11.799813 15.822723
0.984143 0.015857 -12.158094 16.890485
0.992018 0.007982 -12.549673 16.971403
0.992292 0.007708 -12.608330 16.929210
0.984669 0.015331 -12.309716 16.770451
0.959347 0.040653 -12.054363 15.506464
0.878314 0.121686 -13.040525 9.658329
0.646683 0.353317 -13.346314 -4.545363
0.301745 0.698255 -1.053369 -12.948645
0.111135 0.888865 12.426159 -10.905765
0.045309 0.954691 17.453890 -9.827547
0.021965 0.978035 18.674651 -10.007450
0.012427 0.987573 18.744228 -10.510159
0.008112 0.991888 18.486889 -11.026417
0.006172 0.993828 18.144268 -11.485427
0.005425 0.994575 17.833836 -11.840646
0.005409 0.994591 17.587442 -12.087997
0.005873 0.994127 17.419907 -12.227721
0.006753 0.993247 17.310338 -12.284472
0.008000 0.992000 17.238507 -12.281512
0.009640 0.990360 17.176773 -12.244848
0.011674 0.988326 17.098811 -12.200724
0.014107 0.985893 16.980577 -12.172998
0.016830 0.983170 16.812769 -12.177407
0.019643 0.980357 16.604462 -12.216934
0.022164 0.977836 16.380938 -12.289249
0.023913 0.976087 16.177668 -12.387522
0.024368 0.975632 16.032043 -12.505857
0.023201 0.976799 15.973364 -12.634581
0.020428 0.979572 16.003510 -12.770784
0.016545 0.983455 16.101368 -12.905902
0.012308 0.987692 16.226018 -13.035528
0.008520 0.991480 16.358678 -13.130130
0.005680 0.994320 16.527296 -13.131880
0.004060 0.995940 16.794319 -12.962079
0.003827 0.996173 17.172587 -12.597790
0.005537 0.994463 17.626820 -12.040936
0.010688 0.989312 17.987626 -11.371073
0.024125 0.975875 17.788875 -10.763621
0.062271 0.937729 15.451877 -10.811841
0.184517 0.815483 6.004715 -12.924273
0.495625 0.504375 -10.181091 -10.443574
0.814158 0.185842 -13.796671 5.052823
0.941212 0.058788 -11.971980 14.500720
0.979629 0.020371 -12.006784 16.770975
0.992043 0.007957 -12.453025 17.069529
0.995760 0.004240 -12.644247 17.101381
0.995245 0.004755 -12.403807 17.310889
0.990502 0.009498 -11.812164 17.617969
0.977135 0.022865 -11.130754 17.497351
0.938573 0.061427 -11.049459 15.264926
0.814537 0.185463 -13.028578 5.843666
0.500380 0.499620 -10.276141 -10.253365
0.183363 0.816637 5.291211 -13.706992
0.058132 0.941868 14.517124 -11.994976
0.020181 0.979819 16.656720 -12.132404
